series_id,description,file_path,script_path,frequency,first_period,last_period,n_obs,pit_lag_days,target_lines,mechanism,prior_evidence,status,suggested_method
X02_10k_text_fy2020_25,"Six 10-K primary documents FY2020-FY2025 (.htm and .txt): MD&A cost-line definitions and $ deltas (payroll, marketing activities, third-party providers, insurance, cloud, non-income taxes), S&M split table, SBC by function, Note 13 commitments (hosting, purchase obligations), Item 1 headcount and third-party support workers, tax rate reconciliation, Item 7A FX and rates sensitivity, share repurchase table",data/raw/filings/txt,analysis/src/overnight/07_cost_lines_per_night.py,annual,FY2020,FY2025,6,50,cor;ops;pd;sm_brand;sm_field;ga;sbc;da;int_inc;other_inc;tax;shares;capex,The only source of sub-line components (MD&A deltas) and forward commitments; the tax-rate reconciliation gives the structural ETR.,07_cost_components_annual.csv extracts ~35 items; MD&A deltas 2022-2025 not yet turned into a quarterly series (10-Qs missing in this tree).,available,M1 driver;M7 below-EBITDA
X03_10q_2q26_and_10k_pdf,Latest 10-Q (2Q26 HTML) and FY2025 10-K PDF/JSON under data/raw/regulatory/quantification/; other 10-Qs 1Q21-1Q26 are NOT in the tree (gap),data/raw/regulatory/quantification/abnb_2026q2_10q.html,analysis/src/pull_regulatory_quant_sources.py,quarterly,2Q26,2Q26,1,42,cor;ops;pd;sm_brand;sm_field;ga;sbc;tax;shares,10-Q three-month MD&A gives the quarterly $ deltas by component and the monthly share-repurchase table (Item 2).,07 built the brand/field split from 10-Q three-month tables (pulled live from EDGAR at the time).,needs_refresh,M1 driver;M7 below-EBITDA
X04_shareholder_letters,"23 shareholder letters 4Q20-2Q26 (8-K Ex. 99.1 HTML): adj. EBITDA reconciliation, SBC by function footnote, FCF reconciliation, balance sheet, outlook sentences, KPI box",data/raw/letters,analysis/src/abnb_exsbc_stack.py,quarterly,4Q20,2Q26,23,40,margin_total;sbc;da;int_inc;other_inc;tax;fcf_timing;capex;guide,Letter-basis series (the numbers the Street scores against) and the guide text.,"Parsed by exsbc_stack, fcf_bridge, 02 ledger, 31a.",available,M3 guide;M7 below-EBITDA
X05_call_transcripts_web,"23 earnings-call transcripts 4Q20-2Q26 plus 5 conference transcripts (MS23, MS24, BERN24, GS24, GS25) as HTML (stockanalysis / IR)",data/raw/transcripts/web,analysis/src/download_abnb_transcripts.py,event,4Q20,2Q26,28,0,guide;cor;ops;pd;sm_brand;sm_field;ga;sbc;tax,"Source of spoken cost guides absent from letters (FY24 flat marketing, FY25 +20bp take rate) and AI-spend statements; WS05 extends.",31a used these plus IR PDFs; pre-2023 rows tagged -sa (audio-aligned).,available,M3 guide
X06_ir_transcripts_factset,FactSet-corrected IR transcripts 1Q23-2Q26 (PDF + JSON) under data/raw/regulatory/transcripts/ with manifest,data/raw/regulatory/transcripts,analysis/src/complete_regulatory_archive.py,event,2023,2026,30,0,guide,Corrected wording for 2023+ statements.,31a quote verification runs against these.,available,M3 guide
X07_bea_pce_travel,"BEA PCE travel panel monthly 2015-01 to 2026-07 (accommodations, hotels, air, inbound/outbound foreign travel; nominal, real, price)",data/raw/bea/bea_pce_travel_monthly_2015_2026.csv,analysis/src/abnb_kpi_vs_category.py,monthly,2015-01-01,2026-07-01,4170,30,rev_drivers,US demand cycle state (M6).,Committed as a raw exception.,available,M6 cycle
X08_regulatory_sqlite,"Regulatory research database: 32 factors, 48 sources, 14 transcript records, 9 earnings observations, market inventory, cohorts (Barcelona, Maui), Hawaii vintages, NYC benchmark",data/processed/abnb_regulatory.sqlite,analysis/src/build_regulatory_database.py,event,2019,2026,,0,ga;rev_drivers,Dated legal/fine events for the G&A legal-cost series.,PR #19.,available,M4 alt
X09_manifests,"Acquisition manifests: edgar_filings_log.csv, macro_download_log.csv, inside_airbnb_download_log.csv, expansion_source_manifest.csv, municipal_download_log.csv (URL, status, sha256 per file)",data/manifests/edgar_filings_log.csv,analysis/src/acquisition/,event,2026-09-05,2026-09-07,14,0,guide,Provenance pattern WS04 must follow for data/manifests/margin_build/.,Append-only.,available,M4 alt
L01_bloomberg_long_export,"Bloomberg long export (6,365 rows): PX_LAST, 30d vol, comps, target/rating history, BEST_SALES / BEST_EBITDA / BEST_EPS for 1FQ, 2FQ, 1FY, 2FY by obs_date for ABNB, BKNG, EXPE, MAR, HLT, H, IHG (sheet 1_Consensus_TS)",data/raw/theo_onedrive/AIRBNB DATA/raw_expansion_licensed/v2_2026-09-05/bloomberg/bbg_extracted_long.csv,,daily,2020-12,2026-09,6365,0,margin_total;guide,Consensus EBITDA/EPS revision history (secondary to LSEG); WS03 tests whether obs_date is true history or pull-date anchored.,"Memory: pull-date anchored, not point-in-time (FY1 revenue at 31 Dec 2020 reads 14,270).",licensed_local,M5 street
L02_bloomberg_options_workbook,"Bloomberg options workbook (4 Sep 2026): daily implied/realised vol since IPO (1,436 rows), IV term structure, 67 monthly ATM straddles, full chain",data/raw/theo_onedrive/AIRBNB DATA/ABNB_Options_Bloomberg_Pull (1).xlsx,,daily,2020-12,2026-09,1436,0,sbc,Historical IV for option-grant valuation (minor).,Aug 2026 implied 10.0% vs realised 33.7%.,licensed_local,M7 below-EBITDA
L03_factset_transcripts,"FactSet transcripts Q4 2020, Q4 2021, Q4 2022, Q3 23, Q2 24, Q2 25 (OneDrive, licensed)",data/raw/theo_onedrive/AIRBNB DATA/raw_expansion_licensed/v2_2026-09-05/transcripts_factset,,event,4Q20,2Q25,6,0,guide,Corrected wording for the pre-2023 -sa rows in 31a.,Not yet used by 31a.,licensed_local,M3 guide
L04_lseg_story_bodies,"LSEG/Refinitiv story bodies and headline rows for regulatory events (data/raw/regulatory/lseg, local only)",data/raw/regulatory/lseg,analysis/src/pull_regulatory_documents.py,event,2019,2026,20,0,ga,Fine/settlement news dates for G&A one-offs; LSEG news API reachable for a margin-news count (WS04/05).,Used by the regulatory package.,licensed_local,M4 alt
T01_theo_source_registry,"Theo's source_registry.csv (45 sources) and free_api_registry.csv (27 APIs): provider, mechanism, URL, auth, lag, licence, PIT support (H.10, ECB, BLS CPI, ALFRED, TSA, BTS, Eurostat, Trends, Wikimedia, Census QSS ...)",theos-past-research/research/source_registry.csv,,registry,2026-09,2026-09,45,0,guide,Reachability and PIT notes for macro sources WS04 will reuse (ALFRED vintages for rates/CPI).,Theo: 'forecast edge unproven'.,available,M4 alt
T02_crossover_web_traffic_schema,"ABNB-Crossover web_traffic_snapshot (Similarweb free tier; SIG domains, schema/template only) and bb_consensus_at_call.csv (schema only, no ABNB rows)",ABNB-Crossover/data/web_traffic_snapshot_2026-08.csv,,snapshot,2026-07,2026-07,15,11,sm_brand,Template for a Similarweb visits-per-marketing-dollar series (ABNB not yet captured).,03_ACCESS_MAP.md describes free-tier limits.,candidate_pull,M4 alt
