row_key,Itinerary,Itinerary Description
Hanoi Jeep Tour Food Culture and Fun Exploration_5.0_1,"Chợ Trời, Ba Dinh Square, Hanoi Train Street, Long Bien Bridge, Hidden Gem Cafe Hanoi","Chợ Trời
Part 1: Explore The Backstreets of Hanoi – 1.5 Hours

Your journey begins where few tourists ever venture. Hop on a Vietnam Army Legend Jeep and ride through the hidden maze of backstreets, narrow alleys, and bustling local markets that pulse with the real rhythm of Hanoi.

Witness the REAL Hanoi behind the scenes, featuring the good, the bad, and the weird sides of the city, all at close range.

Immerse yourself in the Living Museum of Hanoi, where local people live and work. Meet locals in their daily lives, from street vendors to artisans, from families to school students, or discover local markets, temples, playgrounds, and random cafés.

Ba Dinh Square
Part 2: Hanoi City’s Highlights – 1 Hours
Shift gears to the heart of the capital as your Jeep cruises through time, from ancient temples to French colonial boulevards and modern landmarks.
Drive through the Old Quarter and French Quarter, absorbing the vibrant contrast of old-world charm and modern development.
Stop for photo opportunities at iconic sites such as:
Ho Chi Minh Mausoleum & Ba Dinh Square
West Lake & Tran Quoc Pagoda
B52 Victory Museum
Long Bien Bridge

Hanoi Train Street
The famous Hanoi Train-street is part of our itinerary. We know how, when, and where to show you the train street and have a coffee while watching the train pass by.

Long Bien Bridge
We take you to Long Bien Bridge,one of the pride and inconic architecture in Hanoi for beautiful photos and great views of the beautiful green Oasis Red River countryside with peaceful and tranquil villages and farms under the bridge

Hidden Gem Cafe Hanoi
Hanoi Food Experiences – 1 Hour

No Hanoi adventure is complete without indulging in its legendary cuisine. We’ll take you to the Hidden Gem Café, where you can savor authentic, healthy, and organic dishes. Vegan and vegetarian options are available.

Sample local favorites such as:

Hanoi fried spring rolls – A taste of Hanoi
Fresh spring rolls (Phở Cuốn) – a delicacy of Hanoi
Hanoi-style Banh Mi – Vietnamese national dish
Five-colored mixed noodles – Hanoi Specialty
Green papaya salad – The most common Salad in Vietnam
Egg Coffee – Hanoi’s creamy, iconic specialty
Local Moonshine (rice wine) – a traditional sip with a kick
Bia Hoi – Hanoi Fresh Beer, daily brewed Fresh Beer, highlighting Hanoi’s modern creative twist on drinks
All food and drinks are healthy, organic, and truly authentic."
One-Day Saigon Adventure_5.0_1,"The Independence Palace, Saigon Central Post Office, War Remnants Museum, Phố Tau Sai Gon (Chợ Lớn Quận 5), Ba Thien Hau Temple, Bến Bạch Dằng","The Independence Palace
The Independence Palace, also known as the Reunification Palace, is an important historical symbol located in the heart of Ho Chi Minh City. Built in 1966, this palace was once the residence and workplace of the presidents of the Republic of Vietnam. Its architecture blends modern and traditional styles, featuring spacious areas and intricate decorations. The Independence Palace was the site of many significant events in Vietnam's history, most notably the liberation of South Vietnam on April 30, 1975. Today, it is a popular tourist destination, attracting thousands of visitors each year who come to learn about the country's heroic past. Visitors can admire the unique architecture, explore historical exhibits, and hear fascinating stories of Vietnam's history.

Saigon Central Post Office
The Central Post Office of Saigon, one of the prominent historical architectural landmarks of Ho Chi Minh City, was constructed by the French between 1886 and 1891. Located in the heart of District 1, near Notre-Dame Cathedral, the post office features a Neo-Classical architectural style with influences from Gothic and Renaissance designs. Its façade is distinguished by intricate decorations and large windows. Inside, the spacious and airy interior boasts a high vaulted ceiling and murals depicting old city maps. The Central Post Office is not only an important historical building but also an attractive destination for visitors interested in the architecture and history of Saigon.

War Remnants Museum
The War Remnants Museum, located in Ho Chi Minh City, Vietnam, is a poignant testament to the devastating effects of the Vietnam War. Established in 1975, the museum showcases a collection of artifacts, photographs, and documents that vividly depict the brutal realities of the conflict. Through powerful exhibitions, visitors are given a somber glimpse into the war's impact on Vietnamese civilians, soldiers, and the environment. The museum also features displays on the consequences of Agent Orange and other chemical weapons used during the war. Serving as a solemn reminder of the past, the War Remnants Museum plays a crucial role in educating visitors about the horrors of war and advocating for peace and reconciliation.

Phố Tau Sai Gon (Chợ Lớn Quận 5)
Chợ Lớn is one of the most famous historical areas in Saigon (now Ho Chi Minh City), located in the southwestern part of the city, primarily in Districts 5 and 6. It is a major commercial and cultural hub for the Chinese community in Vietnam, having formed in the 18th century. Chợ Lớn is renowned for its ancient architecture, temples, and pagodas deeply influenced by Chinese culture, along with its bustling and diverse markets, especially Bình Tây Market. This area is not only a place of trade but also a tourist attraction with famous restaurants and eateries specializing in Chinese-Vietnamese cuisine, where visitors can enjoy unique dishes and traditional flavors.

Ba Thien Hau Temple
Thien Hau Temple, situated in Ho Chi Minh City's Chinatown, is a revered and intricately adorned temple dedicated to the Chinese sea goddess Mazu, also known as Thien Hau. Constructed in the 19th century by the Cantonese community, the temple serves as a spiritual center for worshippers and a cultural landmark for visitors. Its architecture is a captivating blend of Chinese and Vietnamese styles, featuring ornate carvings, ceramic figurines, and elaborate roof decorations. Inside the temple, devotees and visitors alike pay homage to Mazu, seeking her protection for safe travels and prosperity. Thien Hau Temple stands as a testament to the enduring cultural heritage of the Chinese community in Vietnam and is a must-visit destination for those interested in exploring Ho Chi Minh City's diverse cultural tapestry.

Bến Bạch Dằng
Bach Dang Pier, located along the Saigon River, is one of the most famous and picturesque attractions in Ho Chi Minh City. Built in the 19th century, this pier offers not only stunning views of the Saigon River but also serves as an ideal stop for tourists looking to relax and enjoy the refreshing riverside atmosphere.
After checking in the waterbus tickets, and stabilizing your seat, the boat will start to depart. During the trip, you will have a unique view of the most typical commercial buildings of the city including the Vinhomes Central Park urban area, the magnificent Landmark 81 tower, the Bitexco Financial Tower, the green peaceful District 2. A lot of stunning moments are waiting for you. Try to discover the soul of this land - Saigon River by water bus, maybe you will realize many miracles, a more accurate view of the land once called Paris of Indochina or the Pearl of the Far East. 
After finishing the boat tour, the car will take you back to the hotel and end the tour."
Hoi An Authentic Cooking Class with Pro Chef in Small group_5.0_4,Cam Thanh,Cam Thanh
From Ho Chi Minh: 6 hours discover Cu Chi tunnels by private Car_0.0_90,,
From Da Nang city to Golden Bridge Bana Hills by private car_5.0_2,,
"Halong Bay Day Tour with Expressway,Cave,Island,Beach from Hanoi_0.0_575","Old Quarter, Halong Bay, Sung Sot Cave, Ti Top Island, Old Quarter","Old Quarter
08:00 - 08:30: Our transfer and guide pick you up from hotel /stay in Hanoi Old Quarter Area and follow the highway to depart for Tuan Chau Island, Halong City. It takes about 2,5 hours driving included 1 stop over for a rest on the way

Halong Bay
*11;30 - 12:00 noon time: We will arrive at Tuan Chau Marina. 
*Get on standard/premium boat and meet crews.
*Have lunch on boat while start crusing on the bay. 
*Visit Suprising Cave (the most beautiful cave in Halong) *Visit Titov Island for swiming and hiking up moutain. 
*Doing Kayaking or local bamboo boat near Luon Cave (small nature lagoon ). 
*Back to Tuan Chau Harbor between 17h45 to 18h00 pm. 

NOTE: For the guest book tour from Halong Bay will finish tour at Tuan Chau Harbor.

Sung Sot Cave
Situated in the centre of the UNESCO-declared World Heritage area, the Sung Sôt or Surprise Grotto is on Bo Hòn Island, and is one of the finest and widest grottoes of Ha Long Bay

Ti Top Island
TiTov Island is one of the most perfect destinations in Halong Bay for swimming, kayaking, and climbing.

Old Quarter
FOR THE GUESTS BOOK TRANSFER FROM HANOI ONLY : We will get on transfer again going on expressway back to Hanoi City. Drop off at your hotel / stay in Old Quarter between 20h30 pm to 21h00 pm,. Trip ends."
Shore Excursion Small Group to Visit GOLDEN BRIDGE BA NA HILLS & DA NANG CITY_0.0_6,"Golden Bridge, The Marble Mountains, My Khe Beach, Dragon Bridge","Golden Bridge
Ba Na cable car line – is the Guinness World Records recognized cable car route reaches 2 record Guinness World: Line a cable car wire longest world (5042.62m) and the difference between the gas station and under large Best World (1,291.81m).

beautiful Golden Bridge:

Length: 148.6 m (490 feet), with 8 spans
Largest span: 21.2 m
Width: 3m
Height: 1.414 m above the sea level
Floor: made by Merawan Giaza Wood, 5cm thick
Golden Handrail

The Marble Mountains
Visit the holy pagodas and explore the natural caves where used to be a hospital to treat Vietnamese wounded soldiers and Viet Cong hiding during America war
– Enjoy the stunning views from summit of mountain and admire a cluster of 5 small mountains following 5 important elements of universe : water fire, wood, earth and metal.
– Visit the family Traditional Marble Handicraft carving at marble village to experience how local people are so skillful.

My Khe Beach
Enjoy Stunning view & Take Nice Picture

Dragon Bridge
Dragon Bridge to take the beautiful photos of the whole long steel dragon and enjoy the nice view of Da Nang modern city. According to local beliefs, which date back to the Ly Dynasty, the Dragon is a significant symbol of power, nobility and good fortune."
Ha Long Bay 2 Days 1 Night Indochina Premium Cruise_5.0_3,Sung Sot Cave,"Sung Sot Cave
8h Pick up from hotel around Ha Noi Old quarter
 11.45 - 12.00 Boarding our boat at Tuan Chau Port – enjoy welcome drink
 13.15 – 14.00 Have Lunch while cruising towards the bay. 
 14.00 Cruise through Halong Bay, passing the most beautiful and quiet areas including Incense Burner, Kissing Rock
 14.30 Kayaking Visit Luon Cave,the stunning limestone structure at every turn & interesting natural
 16.00 Visit Surprise Cave, one of the most spectacular and largest grottoes in Halong Bay. We will walk up to the cave entrance and tour inside for about 45 minutes, then exit and go back to the boat.
17.30 Depart and cruise for about 30 minutes to anchor overnight.
 18.30 – 19.00 Attend the Fruit and Vegetable Carving Lesson led by our Head Chef,he will conduct Fruit and Vegetable carving, showing the guests how we decorate and make some traditional Vietnamese food
 19.30 Dinner is served
 20.30 Evening activities. Board games like cards or Parcheesi are available,or squid fishing"
From Ha Noi - FullDay Trip Ninh Binh_5.0_4,"Hanoi, Hoa Lu Temple, Trang An Landscape Complex, Trang An Grottoes, Tam Cốc-Bich Dộng, Mua Caves, Mua Caves","Hanoi
Having breakfast your own at the hotel later our guide and driver will come to your hotel pick you up on time and then start to go Ninh Binh. spend about 2 hours on the bus. stop in the middle way to take the break time for rest room about 15 minutes or 20minutes after that keep driving to Ninh Binh. Now start to Explore Ninh Binh.

Hoa Lu Temple
Tour start to visit the Hoa Lu ancient capital VietNam here you have chance to understand about VietNam history during the King of VietNam rule the country in 10 century. visit The Ding King temple who is the first King of VietNam denfend the country well and agiants enemy away. later move to see another King called Le Dai Hanh aslo contribute alot of thing to protect Vietnam and bring independece , freedon for country. Spend 1 hour waling around here to see all the temple.

Trang An Landscape Complex
after spending to visit Hoa Lu take the bus move to the TRANG AN Town for lunch. stop at local restaurant to enjoy the local food with many local food as vegetable, meat, soup, if you are vegetarion please inform our guide we can arrange for you.

Trang An Grottoes
after lunch move to the boat whaf to take the boat trip. the boat can seat 3 to 4 persons per boat. spend time on the river to see 3 differents caves and aslo see the see sighting around there like the moutains , rice fileds if you get the on time rice harvest. this activity will take about 2 hours to do the boat rowing on the nice river

Tam Cốc-Bich Dộng
Take the bicycle go around the village have chance to see local rural area in the village . During the time ride the bike you can see many thing as animals goat , buffalos, moutains and local people there. it is nice time to see this with many nice thing view and rice fields.

Mua Caves
we continue to explore the Mua cave or dragon mnoutain for climbing up the moutain or walk around to see the the best view from the hight mountain as rice fields or lotus field around there

Mua Caves
After do all the activity in the village get in the bus and drive back to Ha Noi old quater about 2 hours. Drop off the same hotel or different hotel in oldquater can be ok. Tour finish with many nice memory today. Have nice time.

Please note that we will inform you the time pick up by email or Whats app before 1 day depature. 

also note that we only pick up and drop off in Ha Noi oldquater if you stay far from old quater please move to the meeting point.

if you have any question please contact us : 
+ 84 981497585"
"Full day Boat Tour Lan Ha Bay - Ha Long Bay: Kayak, Beach Hopping_5.0_9","Lan Ha Bay, Dark & Light Cave","Lan Ha Bay
Lan Ha Bay, Cai Beo Fishing Village, Bay Center, Sounthern Ha Long Bay, Bright and Dark Caves, Chopstick Islet

Dark & Light Cave
Kayaking Point"
Exclusive Ba Na Hills & Golden Bridge Tour from Hoi An/Da Nang_0.0_0,"Golden Bridge, Ba Na Hills SunWorld, Ba Na Hills SunWorld, Da Nang","Golden Bridge
Experience a memorable Ba Na Hills tour with our convenient pickup from your hotel in a comfortable minivan. Enjoy a ride to Ba Na Hills via the modern Southeast Asia Cable Car, offering breathtaking views of Da Nang’s coastline from the Dream Stream Cable Car Station. Visit the world-famous Golden Bridge, celebrated for its unique design and highlighted by the British Guard newspaper. Explore the picturesque Le Jardin D’Amour, featuring nine stunning gardens, and the majestic Linh Ung Pagoda. Continue your adventure on the second Cable Car to the charming French Village, where you can enjoy street music, admire art statues, and explore iconic landmarks such as the Campanile, Nine Floor Goddess Shrine, and Tombstone Temple. Don’t miss the lively Carnival Performance Show at Square Du Dome.

Ba Na Hills SunWorld
Enjoy a delicious buffet lunch at a top-rated restaurant, offering a variety of fresh and flavorful dishes to enhance your Ba Na Hills experience.

Ba Na Hills SunWorld
Take the Lava Train from Sun Kingdom to explore a range of exciting new attractions, including Helios Waterfall, the Time Gate, and The Moon Kingdom. Dive into the Fantasy Park where you can stroll through the enchanting Fairy Forest, discover Dinosaur Park, and experience thrilling 5D Wild West rides. Enjoy the 4D Death Race, watch the captivating 3D Mega 360 Degrees show, and embark on an underground adventure. Enter Jurassic Park, challenge yourself on the Freefall Tower, and brave the Horror House. Plus, enjoy over 90 free games throughout your visit.

Da Nang
After a day of exploration, return to the Cable Car for your journey back from Ba Na Hills. Our comfortable minivan will then transfer you back to your hotel, concluding your memorable tour."
Daily Experience Authentic TaPhin Valley &Traditional Herbal bath_5.0_11,Ta Phin Village,"Ta Phin Village
Local guide come to pick you up at your hotel in Sapa center at 8h45am for your beautiful trek. Your journey will begin with a nice walk to Suoi Ho village, inhabited by Black Hmong tribe, where you will have chance to experience their daily life, explore their village before keep hiking on a dirt trail leading you through their stunning rice-terraces, and if your trek take place during their rice plantation, you could join their activities.
 Lunch at a local restaurant run by a Hmong family.
After lunch, you will enjoy a nice trek through Bamboo forest before arriving in Ta Phin, inhabited by Red Dzao minority, well known of their colorful handicraft, herbal bath. Discover their daily life, tasting their welcome tea, and learn about their culture & traditions. You will have chance to experience their special herbal bath before returning to Sapa 15h00-15h30.
Note: 
Group tour with English speaking guide only. French or other languages speaking guide on request with an extra charge."
Explore Thanh Ha Village and Making Pottery_5.0_1,Thanh Ha Pottery Village,"Thanh Ha Pottery Village
Away just a short distance from Hoi An ancient town is the world of pottery-making of Thanh Ha pottery village that has been existing for centuries.

*Details of the workshop:
- Get greeted by local craftsman in their home
- Have introduction of local pottery products
- Start the class to make your own pottery product
- Receive a little gift

After the class, you can visit around:
- Visit The Xuan My Communal House and Nam Dieu Temple of the pottery founders (by yourself)
- Go around and explore the beauty and enjoy peace & tranquility of traditional crafts (by yourself)

* Note:
- Local craftsmen will welcome you at workshop so English communication is limited.
- Duration of pottery making class is often around 20 mins. However, you can extend the time more to finish your product if you want."
La Casta Daily Cruise - Best Luxury Day Tour into Halong Bay_0.0_35,"Old Quarter, Hạ Long Bay, Sung Sot Cave, Ti Top Island, Old Quarter","Old Quarter
1-For Group Transfer: We will pick up all the guests in Hanoi Old Quarter Area or Hanoi Opera House if outside between 7h00 AM to 7h20 AM. 
2-For Private Transfer: We will pick up all the places in Hanoi City at 7h15 AM.

Hạ Long Bay
HIGHLIGHTS OF LA CASTA DAILY CRUISE IN HALONG BAY: 
✔️ Admire stunning scenery with thousands of limestone mountains at Halong Bay.
✔️ Explore the secrets of Vietnamese cuisine with buffet on board.
✔️ Explore Sung Sot Cave - one of the biggest caves in the bay.
✔️ Go kayaking or Bamboo Boat in Luon Cave. 
✔️ Enjoy the panoramic view of Ha Long Bay while climbing to the top of Titop island. 
✔️ Great chance to join in interesting activities on board like ,sunset party, relax and admire the sunset at Halong bay.
✔️ Cruise return Tuan Chau Marina between 17h30 PM to 17h45 PM. 

NOTE : FOR THE GUESTS NOT USING OUR TRANSFER SERVICE WILL FINISH DAY CRUISE AT TUAN CHAU MARINA

Sung Sot Cave
This is one of the most famous caves located in Ha Long Bay. Sung Sot cave was found by the French in 1901, they discovered this cave and named it ""La Grotte des Surprises"" for its beauty and majesty in the cave. This is the widest and most beautiful cave of Ha Long Bay and this is also the place where many unique shape rocks are found

Ti Top Island
Located in the central of UNESCO World Heritage, Titov Island (also known as Titop) is approximately 7-8km to the southeast of Halong Bay. Along with Ba Trai Dao Island, TiTov Island is one of the most perfect destinations in Halong Bay for swimming,and climbing.

Old Quarter
FROM TUAN CHAU MARINA, the guests who book tour from HANOI will get on transfer again back to Hanoi. Drop off you at Hotel between 20h00 to 20h30 PM."
"6 Days 5 Night Ha Long Bay, Ninh Binh and Sapa Tour_5.0_15",Hanoi,"Hanoi
Exciting Activities Included with Your Booking
When you book your experience with us, you’ll enjoy a range of fun and meaningful activities designed to help you explore and connect with the local culture:

Free Walking Tour with Local Guide: Discover hidden gems and iconic landmarks with the help of a knowledgeable local guide – completely free of charge. Learn about the history, culture, and stories behind every corner.

Local Food & Daily Life Exploration: Taste authentic street food and gain insight into the daily life of local people as you walk through vibrant neighborhoods and markets. (your own spend)

Cultural Exchange & Hands-on Experiences: Depending on the schedule, guests may join local cultural activities such as traditional games, cooking classes, or craft-making sessions. (your own spend)

Photo Opportunities at Scenic Spots: Our guide will also show you the best places for amazing photos to capture your journey and share unforgettable moments."
Intensive Facial Treatment_5.0_15,,
Full-Day Hue Imperial Citadel by Private Car from Da Nang_5.0_1,,
"Lady Buddha, Marble Mountains & Hoi An City By Night Private Tour_0.0_2","Linh Ung Pagoda, The Marble Mountains, Hoi An Ancient Town, Hoi An Night Market, Da Nang","Linh Ung Pagoda
Our journey begins with a convenient hotel pickup by our professional tour guide and comfortable vehicle. Our first stop is the famous Linh Ung Pagoda, a must-visit site in Vietnam. Here, you'll find the impressive Lady Buddha statue, standing at 70 meters high and 40 meters wide. This iconic landmark is not only a stunning sight but also holds great spiritual significance, drawing visitors from around the world.

The Marble Mountains
After visiting Linh Ung Pagoda, we’ll head to the stunning Marble Mountains, where you can explore the fascinating Tàng Chơn Cave, renowned for its captivating natural formations. Next, we’ll visit the famous Non Nuoc Stone Carving Village, celebrated for its exceptional stone artistry. Marvel at intricate sculptures and discover unique souvenirs to remember your trip.

Hoi An Ancient Town
Next, we’ll journey to Hoi An to experience its historic charm. Explore iconic landmarks such as the Japanese Bridge, traditional old houses, Phuc Kien Assembly Hall, and beautiful pagodas. Enjoy a leisurely stroll through Nguyễn Hoàng Night Market for unique shopping, and wander along Lantern Street, admiring the vibrant displays. Don’t miss a scenic walk by the picturesque Hoài River, as you soak in the enchanting evening ambiance of one of Vietnam’s most captivating towns.

Hoi An Night Market
Savor a delightful dinner in Hoi An, featuring a selection of local specialties. Enjoy the unique flavors of Cao Lầu, a distinctive noodle dish, along with flavorful chicken rice and savory wontons. Immerse yourself in the authentic taste of Hoi An’s renowned culinary delights, all in a charming and atmospheric setting.

Da Nang
After a delightful evening, our professional tour guide will transfer you back to your hotel in comfort. Thank you for joining us on this memorable journey! We hope you enjoyed every moment of the Monkey Mountains, Marble Mountains, and Hoi An Night Luxury Tour, and we look forward to welcoming you on future adventures!"
Coconut Jungle -Hoi An Villages -Marble Mountains Private Tour_5.0_4,"The Marble Mountains, Tra Que Vegetable Village, Bay Mau Coconut Forest","The Marble Mountains
marble and limestone hills – the five mountains are named after the five elements: Metal, Water, Wood, Fire and Earth. You will be rewarded by the great city and ocean view and explore the natural caves, discovering the many hidden secrets of this amazing place and visit the holy pagoda.

Tra Que Vegetable Village
Our first stop is the Tra Que Vegetable village where we will meet a local family to see how they live. Enjoy drinks made by them whilst they share stories about their lives in the village.

After our refreshment, they will demonstrate each task involved in the growing of vegetables. Then it is your turn to:

work the soil,

fertilise with seaweed, including stomping in the seaweed

sow the plants, and

water them with two watering cans in the traditional way.

Bay Mau Coconut Forest
Bay mau Coconut Forest where we will test the seafarer in you as you will take a ride in a bamboo basket boat giving you a chance to fish for crabs.

You will learn how locals throw out the big fishing nets and you will get to try this for yourself.

Your local guides will demonstrate their amazing skills at making watches, fish, and grasshoppers from coconut leaves which they will then give to you as souvenirs."
From Chan May Port to Marble Mountains and Hoi An Ancient Town_0.0_0,"CHAN MAY PORT JOINT STOCK COMPANY- Công ty Cổ phần Cảng Chân Mây, Lang Co Beach, Hai Van Pass, The Marble Mountains, Hoi An Ancient Town, CHAN MAY PORT JOINT STOCK COMPANY- Công ty Cổ phần Cảng Chân Mây","CHAN MAY PORT JOINT STOCK COMPANY- Công ty Cổ phần Cảng Chân Mây
Chan May port to Hoi An excursion is a fantastic full-day private tour that allows you to discover Hoi An's hidden charm. The tour guide and driver will come to pick you up at the Chan May Port gate, from your Cruise Ship about 600 meters. On the way from cruise port to Da Nang, you will see some sightseeing as

Lang Co Beach
Sitting just north of the Hai Van Pass, Lang Co Bay is an untouched beauty – a small coastal town offering an array of local beach restaurants and cafes. Has been voted as one of the most beautiful bays in the world and certainly one of the best in Vietnam.

Hai Van Pass
After that, you'll cross the Hai Van pass. It is not only a stunning pass but also a Vietnamese wonder. This breathtaking 21-kilometer road winding along the mountainside between Hue and Danang is a must-see

The Marble Mountains
About 10:00 a.m: We will visit Marble Mountain This group of 5 marble and limestone mountains each depicts one of the earth’s elements. Bound with Hindu and Buddhist grottoes. The Marble Mountains give a breathtaking picturesque view of Danang at the top of the mountain.

Hoi An Ancient Town
12:00 p.m Have Lunch at a local restaurant in Hoi An
At 1:30 p.m: Visit Hoi An Ancient Town – Previously famous trading port in Southeast Asia that was well-preserved and awarded as one of the UNESCO World Heritage Sites. Visit the iconic Japanese Covered Bridge, a tile-roof-covered bridge that was built in the early 17th century by a Japanese traders community. Enter ancient houses dating way back to the 15th Century superbly combining parts of Japanese and Chinese with Vietnamese structure.

CHAN MAY PORT JOINT STOCK COMPANY- Công ty Cổ phần Cảng Chân Mây
3:00 p.m – 3:30 pm: Say good bye to Hoi An Town then get on private car back to Chan May port. Arrive in Tien Sa Port at about 4:30 – 5:00 p.m. End tour !"
Best Seller - Halong 5 Star Sonata Cruise: Buffet & Live Music_0.0_35,"Old Quarter, Halong Bay, Old Quarter","Old Quarter
We will pick up guests at hotels in Hanoi Old Quarter Area. Our guide will come to your hotel check your name with receptionist for the tour. It takes about 3 hours drive from Hanoi to Halong Bay by expressway included short break on the way.

Halong Bay
Embark on a luxurious full-day tour of Ha Long Bay aboard the 5-Star Sonata Cruise, starting from Tuan Chau Harbor. Cruise through stunning limestone islets like Cock Fighting Rock and Thumb Island, while enjoying a delightful buffet lunch. Visit the world-famous Surprising Cave with its spectacular stalactites and stalagmites, then explore the serene Luon Cave Lagoon by kayak or bamboo boat, where you may spot rare white monkeys. Relax on Titov Island, where you can swim at the sandy beach or hike up Titov Peak for panoramic views. End your adventure with a live traditional music performance and afternoon tea on the open deck, surrounded by the breathtaking beauty of Ha Long Bay. This unforgettable experience blends natural wonders, cultural entertainment, and premium comfort, making it the perfect way to explore Ha Long Bay in style.

Old Quarter
At the end of the day, from Tuan Chau Harbor, guests will say good bye crew and halong bay then get on transfer back to Hanoi City after 3 hours driving again by expressway. We will drop off guest at hotel in Old Quarter Area between 20h45 PM to 21h00 PM. End tour"
"Hoi An Eco : Basket Boat Adventure, Fishing and Cooking Class_5.0_1",,
Hanoi Car Rental with English-Speaking Driver (Half Day)_5.0_3,,
Ta Cu Mountain & Phan Thiet City Half-Day Journey Special Offer_0.0_1,"Mui Ne, Phan Thiet, Van Thuy Tu Communal House, Nui Ta Cu, Mui Ne","Mui Ne
We arrange a free pick up and drop off at your hotel lobby in Mui Ne & Phan Thiet areas. Our tour guide and driver will meet you at the hotel lobby on time to start a great fun journey.

Phan Thiet
Visit Po Sa Nuh Tower, In Phan Thiet (PhanThiết), there is a place with a special Cham culture that tourists should not miss: the Poshanu Cham Tower (Tháp Chăm Poshanu). This tower is an architectural work of the Champa Kingdom with artistic, historical, cultural, architectural values, gradually became an attractive tourist attraction to the Mui Ne, Phan Thiet City.
Go to Phan Thiet town, on the way can stop at Phan Thiet fishing harbour to check out the view of so many fishing boats and take photos and watch the local life.

Van Thuy Tu Communal House
Explore Van Thuy Tu Palace - one of the tourist attractions not to be missed when coming to Phan Thiet. Van Thuy Tu Palace is located on Ngu Ong Street right next to the fishing port, where the largest whale skeleton (Ong Nam Hai skeleton) in Southeast Asia with a lifespan of more than 200 years is kept and worshiped. Every year, in June, the largest traditional Nghinh Ong festival of the South Central Coast provinces takes place here. This is a festival to pray for peace and a good harvest of fish and shrimp for fishermen. On this occasion, Phan Thiet fishing ports and the coastal city of Phan Thiet often attract a large number of domestic and foreign tourists.

Nui Ta Cu
Go to the highlight of the tour - Ta Cu Mountain, get on the cable car to go up to the mountain. When you get to the cable car station, there will be a bout 100 steps to go up to the highest place is the lying Buddha 49 meters. Along the way enjoy some others statues and great view down to the city. With mist-covered peaks, cascading waterfalls, and ancient temples, Ta Cu Mountain offers a mesmerizing blend of natural wonders and cultural heritage. Whether you seek spiritual enlightenment or simply crave an escape into nature's embrace, the mountain promises an extraordinary experience that will leave an indelible mark on your soul.

Mui Ne
On the way to go back to your hotel, we will stop by the Dragon fruit farm to get to know more about this land and how they grow Dragon fruits.
Drop off at your hotel safety, end of tours."
Private Transfer : Cam Ranh Airport(CXR) / Cam Ranh To Dalat_5.0_1,,
Private Hanoi Walking Street Food and Train Street Trip_0.0_25,"Old Quarter, Hanoi Train Street","Old Quarter
We will pick up guests at hotels in Hanoi Old Quarter Area. Please ready at your hotel lobby, our guide will come and check your name at receptionist for private street food tour. Please contact us for your hotel address so we can support you in advance.

Our guide will come to your hotel in the Old Quarter to pick you up then a short briefing before we start. You’ll explore the culture and history of Hanoi as you step into a world full of street food vendors. Our guides will take tourists to eat at lots of special corners, alleys, and restaurants of The Old Quarter that you might miss if you go by yourself to try a variety of street foods and drinks such as:Bún chả (Grilled pork with noodle), Phở bò,gà (Beef, chicken noodle soup), Bánh cuốn (Steamed rice papper rolls), Nem rán (Fried spring rolls), Bánh Mỳ (Vietnamese sandwich), Hoa quả dầm (Mixture fresh-fruit), Café trứng (Egg coffee)..

Hanoi Train Street
You will have a chance to visit Hanoi Train Street is a unique and popular attraction located in the heart of the city. The train tracks were built more than a hundred years ago, and the street has become a popular tourist destination in recent years. Visitors come to take photos, enjoy coffee or tea and experience the bustling energy of the area. After train street, our guide will show you back to hotel in Old Quarter. Say good bye to our guide."
Discover Sapa: Guided Trek Through Rice Terraces & Local Villages_0.0_0,"Sapa, Y Linh Ho, Lao Chai, Ta Van Village","Sapa
8:00 – 8:40 AM: Your Tour guide will pick you up at your hotel in Sapa Town. Kindly provide the hotel name and address in Hanoi Old Quarter for pick-up arrangements.

Y Linh Ho
Start trekking to Y Linh Ho village and then start hiking through the rice terraces along Muong Hoa. 
Y Linh Ho village is surrounded by the majestic Hoang Lien Son range, located in San Sa Ho commune, Sa Pa town, Lao Cai. Along the Muong Hoa valley, from Sapa town, visitors go in the direction of Lao Chai village. From here, you can see the tiny Lao Chai San 2 bridge on the left-hand side below. This bridge crosses the chasm connecting Lao Chai and Y Linh Ho. The pedestrians will cross this bridge and go to Y Linh Ho.

Lao Chai
Arrive at Lao Chai village is also home to the Black H'mong and Red Dao ethnic groups. These are also two large villages in Sapa tourist area. Lao Chai - Ta Van village is located in the middle of Hoang Lien Son mountain range.

Ta Van Village
Savor a delicious local lunch in the charming Ta Van Village, then take some time to rest and recharge.

13:30 - 14:00: The bus will take you back to Sapa Town. End trips!"
